Data;Quantidade;Dose Aplicada
2021-03-22;98;1ªDose
2021-03-22;21;2ªDose
2021-04-12;6;1ªDose
2021-04-12;90;2ªDose
2021-04-13;4;1ªDose
2021-04-13;11;2ªDose
2021-03-23;108;1ªDose
2021-03-23;13;2ªDose
2021-03-19;125;1ªDose
2021-03-19;16;2ªDose
2021-04-09;57;1ªDose
2021-04-09;101;2ªDose
2021-03-15;24;1ªDose
2021-03-15;8;2ªDose
2021-03-24;101;1ªDose
2021-03-24;9;2ªDose
2021-04-08;121;1ªDose
2021-04-08;3;2ªDose
2021-02-08;27;1ªDose
2021-02-08;0;2ªDose
2021-03-11;38;1ªDose
2021-03-11;1;2ªDose
2021-02-23;21;1ªDose
2021-02-23;8;2ªDose
2021-03-20;94;1ªDose
2021-03-20;1;2ªDose
2021-04-07;178;1ªDose
2021-04-07;26;2ªDose
2021-01-25;22;1ªDose
2021-01-25;0;2ªDose
2021-03-26;161;1ªDose
2021-03-26;48;2ªDose
2021-03-25;67;1ªDose
2021-03-25;20;2ªDose
2021-03-31;195;1ªDose
2021-03-31;6;2ªDose
2021-03-17;97;1ªDose
2021-03-17;15;2ªDose
2021-03-03;48;1ªDose
2021-03-03;5;2ªDose
2021-02-24;20;1ªDose
2021-02-24;7;2ªDose
2021-01-26;9;1ªDose
2021-01-26;0;2ªDose
2021-02-11;23;1ªDose
2021-02-11;10;2ªDose
2021-04-01;68;1ªDose
2021-04-01;4;2ªDose
2021-04-06;228;1ªDose
2021-04-06;1;2ªDose
2021-03-30;119;1ªDose
2021-03-30;7;2ªDose
2021-03-04;59;1ªDose
2021-03-04;0;2ªDose
2021-02-04;11;1ªDose
2021-02-04;0;2ªDose
2021-02-26;4;1ªDose
2021-02-26;2;2ªDose
2021-02-05;39;1ªDose
2021-02-05;0;2ªDose
2021-01-22;23;1ªDose
2021-01-22;0;2ªDose
2021-04-05;82;1ªDose
2021-04-05;0;2ªDose
2021-03-01;34;1ªDose
2021-03-01;8;2ªDose
2021-02-19;13;1ªDose
2021-02-19;18;2ªDose
2021-03-27;46;1ªDose
2021-03-27;2;2ªDose
2021-03-18;15;1ªDose
2021-03-18;7;2ªDose
2021-03-05;27;1ªDose
2021-03-05;0;2ªDose
2021-03-29;86;1ªDose
2021-03-29;13;2ªDose
2021-02-01;3;1ªDose
2021-02-01;0;2ªDose
2021-02-18;0;1ªDose
2021-02-18;14;2ªDose
2021-04-10;6;1ªDose
2021-04-10;40;2ªDose
2021-03-09;28;1ªDose
2021-03-09;3;2ªDose
2021-01-29;5;1ªDose
2021-01-29;0;2ªDose
2021-02-09;50;1ªDose
2021-02-09;0;2ªDose
2021-03-16;14;1ªDose
2021-03-16;3;2ªDose
2021-02-25;20;1ªDose
2021-02-25;2;2ªDose
2021-04-03;28;1ªDose
2021-04-03;0;2ªDose
2021-03-08;1;1ªDose
2021-03-08;0;2ªDose
2021-01-28;2;1ªDose
2021-01-28;0;2ªDose
2021-01-27;5;1ªDose
2021-01-27;0;2ªDose
2021-02-22;1;1ªDose
2021-02-22;0;2ªDose
