Data;Quantidade;Dose Aplicada
2021-03-26;109;1ªDose
2021-03-26;4;2ªDose
2021-02-08;17;1ªDose
2021-02-08;0;2ªDose
2021-02-25;30;1ªDose
2021-02-25;0;2ªDose
2021-03-25;275;1ªDose
2021-03-25;32;2ªDose
2021-03-23;266;1ªDose
2021-03-23;29;2ªDose
2021-03-29;309;1ªDose
2021-03-29;1;2ªDose
2021-02-02;14;1ªDose
2021-02-02;0;2ªDose
2021-03-18;50;1ªDose
2021-03-18;30;2ªDose
2021-03-30;577;1ªDose
2021-03-30;0;2ªDose
2021-03-31;129;1ªDose
2021-03-31;0;2ªDose
2021-04-06;286;1ªDose
2021-04-06;177;2ªDose
2021-03-04;61;1ªDose
2021-03-04;10;2ªDose
2021-03-03;66;1ªDose
2021-03-03;1;2ªDose
2021-02-11;16;1ªDose
2021-02-11;96;2ªDose
2021-04-05;113;1ªDose
2021-04-05;91;2ªDose
2021-02-18;5;1ªDose
2021-02-18;35;2ªDose
2021-02-01;12;1ªDose
2021-02-01;0;2ªDose
2021-03-22;188;1ªDose
2021-03-22;4;2ªDose
2021-03-16;194;1ªDose
2021-03-16;23;2ªDose
2021-03-11;144;1ªDose
2021-03-11;4;2ªDose
2021-03-17;79;1ªDose
2021-03-17;15;2ªDose
2021-03-05;39;1ªDose
2021-03-05;0;2ªDose
2021-04-12;6;1ªDose
2021-04-12;111;2ªDose
2021-04-07;97;1ªDose
2021-04-07;63;2ªDose
2021-02-03;18;1ªDose
2021-02-03;1;2ªDose
2021-03-02;76;1ªDose
2021-03-02;2;2ªDose
2021-01-26;21;1ªDose
2021-01-26;0;2ªDose
2021-04-13;6;1ªDose
2021-04-13;133;2ªDose
2021-01-21;97;1ªDose
2021-01-21;0;2ªDose
2021-04-08;26;1ªDose
2021-04-08;129;2ªDose
2021-03-10;46;1ªDose
2021-03-10;0;2ªDose
2021-01-28;37;1ªDose
2021-01-28;0;2ªDose
2021-02-22;24;1ªDose
2021-02-22;6;2ªDose
2021-02-23;21;1ªDose
2021-02-23;8;2ªDose
2021-02-04;55;1ªDose
2021-02-04;0;2ªDose
2021-03-24;71;1ªDose
2021-03-24;10;2ªDose
2021-03-08;20;1ªDose
2021-03-08;1;2ªDose
2021-03-12;42;1ªDose
2021-03-12;5;2ªDose
2021-03-15;36;1ªDose
2021-03-15;1;2ªDose
2021-02-09;24;1ªDose
2021-02-09;0;2ªDose
2021-02-19;5;1ªDose
2021-02-19;2;2ªDose
2021-04-09;9;1ªDose
2021-04-09;0;2ªDose
2021-02-10;2;1ªDose
2021-02-10;0;2ªDose
2021-03-09;14;1ªDose
2021-03-09;0;2ªDose
2021-03-01;3;1ªDose
2021-03-01;1;2ªDose
2021-02-12;10;1ªDose
2021-02-12;0;2ªDose
2021-04-01;1;1ªDose
2021-04-01;3;2ªDose
2021-04-14;3;1ªDose
2021-04-14;160;2ªDose
2021-01-29;1;1ªDose
2021-01-29;0;2ªDose
