Data;Quantidade;Dose Aplicada
2021-03-17;13;2ªDose
2021-03-17;46;1ªDose
2021-03-22;1;2ªDose
2021-03-22;100;1ªDose
2021-03-25;0;2ªDose
2021-03-25;37;1ªDose
2021-03-27;0;2ªDose
2021-03-27;62;1ªDose
2021-04-06;46;2ªDose
2021-04-06;150;1ªDose
2021-02-01;0;2ªDose
2021-02-01;47;1ªDose
2021-04-07;37;2ªDose
2021-04-07;100;1ªDose
2021-03-11;19;2ªDose
2021-03-11;60;1ªDose
2021-03-24;7;2ªDose
2021-03-24;156;1ªDose
2021-02-02;0;2ªDose
2021-02-02;42;1ªDose
2021-03-29;25;2ªDose
2021-03-29;75;1ªDose
2021-01-21;0;2ªDose
2021-01-21;24;1ªDose
2021-04-14;74;2ªDose
2021-04-14;15;1ªDose
2021-03-16;2;2ªDose
2021-03-16;80;1ªDose
2021-03-04;0;2ªDose
2021-03-04;20;1ªDose
2021-01-22;0;2ªDose
2021-01-22;41;1ªDose
2021-03-15;11;2ªDose
2021-03-15;10;1ªDose
2021-03-31;18;2ªDose
2021-03-31;124;1ªDose
2021-02-19;0;2ªDose
2021-02-19;18;1ªDose
2021-02-24;0;2ªDose
2021-02-24;21;1ªDose
2021-01-28;0;2ªDose
2021-01-28;2;1ªDose
2021-04-05;64;2ªDose
2021-04-05;172;1ªDose
2021-03-26;0;2ªDose
2021-03-26;212;1ªDose
2021-03-05;0;2ªDose
2021-03-05;32;1ªDose
2021-03-09;2;2ªDose
2021-03-09;94;1ªDose
2021-01-29;0;2ªDose
2021-01-29;71;1ªDose
2021-04-08;45;2ªDose
2021-04-08;66;1ªDose
2021-02-26;0;2ªDose
2021-02-26;18;1ªDose
2021-04-12;62;2ªDose
2021-04-12;25;1ªDose
2021-03-19;29;2ªDose
2021-03-19;108;1ªDose
2021-02-09;0;2ªDose
2021-02-09;10;1ªDose
2021-04-13;84;2ªDose
2021-04-13;29;1ªDose
2021-03-10;0;2ªDose
2021-03-10;10;1ªDose
2021-03-30;0;2ªDose
2021-03-30;69;1ªDose
2021-03-23;10;2ªDose
2021-03-23;41;1ªDose
2021-03-08;0;2ªDose
2021-03-08;50;1ªDose
2021-03-02;8;2ªDose
2021-03-02;3;1ªDose
2021-02-23;0;2ªDose
2021-02-23;10;1ªDose
2021-02-03;0;2ªDose
2021-02-03;36;1ªDose
2021-03-03;10;2ªDose
2021-03-03;20;1ªDose
2021-02-04;0;2ªDose
2021-02-04;1;1ªDose
2021-02-11;14;2ªDose
2021-02-11;0;1ªDose
2021-04-01;2;2ªDose
2021-04-01;7;1ªDose
2021-02-25;2;2ªDose
2021-02-25;23;1ªDose
2021-04-09;19;2ªDose
2021-04-09;2;1ªDose
2021-02-18;12;2ªDose
2021-02-18;0;1ªDose
2021-02-10;1;2ªDose
2021-02-10;10;1ªDose
2021-01-19;0;2ªDose
2021-01-19;2;1ªDose
2021-03-01;0;2ªDose
2021-03-01;1;1ªDose
2021-02-12;1;2ªDose
2021-02-12;0;1ªDose
2021-01-27;0;2ªDose
2021-01-27;3;1ªDose
