Data;Quantidade;Dose Aplicada
2021-03-29;190;1ªDose
2021-03-29;1;2ªDose
2021-01-21;25;1ªDose
2021-01-21;0;2ªDose
2021-03-11;105;1ªDose
2021-03-11;0;2ªDose
2021-04-06;98;1ªDose
2021-04-06;56;2ªDose
2021-03-23;147;1ªDose
2021-03-23;5;2ªDose
2021-03-17;10;1ªDose
2021-03-17;20;2ªDose
2021-03-31;122;1ªDose
2021-03-31;7;2ªDose
2021-04-08;88;1ªDose
2021-04-08;27;2ªDose
2021-03-12;51;1ªDose
2021-03-12;0;2ªDose
2021-03-26;56;1ªDose
2021-03-26;0;2ªDose
2021-02-08;36;1ªDose
2021-02-08;2;2ªDose
2021-04-13;0;1ªDose
2021-04-13;88;2ªDose
2021-04-07;162;1ªDose
2021-04-07;40;2ªDose
2021-02-12;21;1ªDose
2021-02-12;0;2ªDose
2021-02-11;32;1ªDose
2021-02-11;0;2ªDose
2021-04-01;30;1ªDose
2021-04-01;0;2ªDose
2021-03-30;177;1ªDose
2021-03-30;10;2ªDose
2021-04-09;92;1ªDose
2021-04-09;12;2ªDose
2021-04-14;6;1ªDose
2021-04-14;121;2ªDose
2021-03-24;139;1ªDose
2021-03-24;0;2ªDose
2021-03-16;44;1ªDose
2021-03-16;16;2ªDose
2021-03-10;67;1ªDose
2021-03-10;0;2ªDose
2021-03-25;132;1ªDose
2021-03-25;0;2ªDose
2021-04-05;68;1ªDose
2021-04-05;2;2ªDose
2021-04-03;39;1ªDose
2021-04-03;1;2ªDose
2021-02-19;19;1ªDose
2021-02-19;6;2ªDose
2021-02-09;21;1ªDose
2021-02-09;0;2ªDose
2021-03-22;1;1ªDose
2021-03-22;27;2ªDose
2021-03-15;11;1ªDose
2021-03-15;1;2ªDose
2021-02-18;22;1ªDose
2021-02-18;11;2ªDose
2021-01-25;18;1ªDose
2021-01-25;0;2ªDose
2021-02-26;0;1ªDose
2021-02-26;4;2ªDose
2021-02-10;24;1ªDose
2021-02-10;0;2ªDose
2021-03-05;7;1ªDose
2021-03-05;1;2ªDose
2021-02-22;1;1ªDose
2021-02-22;6;2ªDose
2021-03-01;19;1ªDose
2021-03-01;4;2ªDose
2021-02-05;4;1ªDose
2021-02-05;0;2ªDose
2021-02-23;1;1ªDose
2021-02-23;14;2ªDose
2021-02-25;0;1ªDose
2021-02-25;5;2ªDose
2021-02-04;5;1ªDose
2021-02-04;0;2ªDose
2021-01-26;3;1ªDose
2021-01-26;0;2ªDose
2021-04-15;1;1ªDose
2021-04-15;23;2ªDose
2021-03-08;1;1ªDose
2021-03-08;0;2ªDose
2021-03-18;0;1ªDose
2021-03-18;1;2ªDose
2021-02-24;0;1ªDose
2021-02-24;1;2ªDose
