Data;Quantidade;Dose Aplicada
2021-04-13;49;2ªDose
2021-04-13;6;1ªDose
2021-03-08;0;2ªDose
2021-03-08;20;1ªDose
2021-04-01;0;2ªDose
2021-04-01;22;1ªDose
2021-03-27;0;2ªDose
2021-03-27;104;1ªDose
2021-03-24;0;2ªDose
2021-03-24;90;1ªDose
2021-02-25;0;2ªDose
2021-02-25;10;1ªDose
2021-04-04;0;2ªDose
2021-04-04;73;1ªDose
2021-02-04;0;2ªDose
2021-02-04;10;1ªDose
2021-04-12;40;2ªDose
2021-04-12;5;1ªDose
2021-03-29;0;2ªDose
2021-03-29;41;1ªDose
2021-02-18;13;2ªDose
2021-02-18;11;1ªDose
2021-02-01;0;2ªDose
2021-02-01;11;1ªDose
2021-04-06;0;2ªDose
2021-04-06;59;1ªDose
2021-03-11;10;2ªDose
2021-03-11;10;1ªDose
2021-02-19;11;2ªDose
2021-02-19;0;1ªDose
2021-03-31;0;2ªDose
2021-03-31;61;1ªDose
2021-02-12;0;2ªDose
2021-02-12;11;1ªDose
2021-03-25;0;2ªDose
2021-03-25;61;1ªDose
2021-02-05;0;2ªDose
2021-02-05;10;1ªDose
2021-03-23;0;2ªDose
2021-03-23;50;1ªDose
2021-03-10;0;2ªDose
2021-03-10;20;1ªDose
2021-03-22;0;2ªDose
2021-03-22;41;1ªDose
2021-01-21;0;2ªDose
2021-01-21;28;1ªDose
2021-03-30;10;2ªDose
2021-03-30;10;1ªDose
2021-04-07;0;2ªDose
2021-04-07;20;1ªDose
2021-03-18;10;2ªDose
2021-03-18;0;1ªDose
2021-02-03;0;2ªDose
2021-02-03;10;1ªDose
2021-02-22;16;2ªDose
2021-02-22;0;1ªDose
2021-02-10;0;2ªDose
2021-02-10;10;1ªDose
2021-03-05;1;2ªDose
2021-03-05;10;1ªDose
2021-03-26;0;2ªDose
2021-03-26;10;1ªDose
2021-03-09;0;2ªDose
2021-03-09;10;1ªDose
2021-03-12;0;2ªDose
2021-03-12;10;1ªDose
2021-02-11;0;2ªDose
2021-02-11;10;1ªDose
2021-03-04;0;2ªDose
2021-03-04;10;1ªDose
2021-03-16;10;2ªDose
2021-03-16;0;1ªDose
2021-04-05;0;2ªDose
2021-04-05;5;1ªDose
2021-02-23;1;2ªDose
2021-02-23;10;1ªDose
2021-01-22;0;2ªDose
2021-01-22;2;1ªDose
2021-04-14;88;2ªDose
2021-04-14;52;1ªDose
2021-02-02;0;2ªDose
2021-02-02;1;1ªDose
