Data;Quantidade;Dose Aplicada
2021-04-06;83;1ªDose
2021-04-06;32;2ªDose
2021-04-07;96;1ªDose
2021-04-07;0;2ªDose
2021-04-08;75;1ªDose
2021-04-08;0;2ªDose
2021-03-30;130;1ªDose
2021-03-30;10;2ªDose
2021-03-08;21;1ªDose
2021-03-08;0;2ªDose
2021-02-18;10;1ªDose
2021-02-18;16;2ªDose
2021-02-11;10;1ªDose
2021-02-11;0;2ªDose
2021-01-22;7;1ªDose
2021-01-22;0;2ªDose
2021-03-15;10;1ªDose
2021-03-15;0;2ªDose
2021-01-21;15;1ªDose
2021-01-21;0;2ªDose
2021-03-25;25;1ªDose
2021-03-25;0;2ªDose
2021-03-26;10;1ªDose
2021-03-26;36;2ªDose
2021-03-05;20;1ªDose
2021-03-05;0;2ªDose
2021-03-24;46;1ªDose
2021-03-24;1;2ªDose
2021-01-25;3;1ªDose
2021-01-25;0;2ªDose
2021-02-24;10;1ªDose
2021-02-24;0;2ªDose
2021-03-23;71;1ªDose
2021-03-23;9;2ªDose
2021-03-11;20;1ªDose
2021-03-11;0;2ªDose
2021-02-19;0;1ªDose
2021-02-19;7;2ªDose
2021-03-10;20;1ªDose
2021-03-10;0;2ªDose
2021-01-29;2;1ªDose
2021-01-29;0;2ªDose
2021-03-19;71;1ªDose
2021-03-19;3;2ªDose
2021-03-29;50;1ªDose
2021-03-29;2;2ªDose
2021-03-17;20;1ªDose
2021-03-17;0;2ªDose
2021-02-08;10;1ªDose
2021-02-08;0;2ªDose
2021-03-04;0;1ªDose
2021-03-04;10;2ªDose
2021-04-05;0;1ªDose
2021-04-05;20;2ªDose
2021-03-31;30;1ªDose
2021-03-31;20;2ªDose
2021-04-14;0;1ªDose
2021-04-14;30;2ªDose
2021-03-09;9;1ªDose
2021-03-09;0;2ªDose
2021-03-02;10;1ªDose
2021-03-02;0;2ªDose
2021-03-01;10;1ªDose
2021-03-01;1;2ªDose
2021-02-26;21;1ªDose
2021-02-26;1;2ªDose
2021-02-05;11;1ªDose
2021-02-05;0;2ªDose
2021-02-01;3;1ªDose
2021-02-01;0;2ªDose
2021-02-23;0;1ªDose
2021-02-23;5;2ªDose
2021-02-22;0;1ªDose
2021-02-22;6;2ªDose
2021-03-12;10;1ªDose
2021-03-12;0;2ªDose
2021-02-09;10;1ªDose
2021-02-09;0;2ªDose
2021-02-03;11;1ªDose
2021-02-03;0;2ªDose
2021-01-26;4;1ªDose
2021-01-26;0;2ªDose
2021-01-27;2;1ªDose
2021-01-27;0;2ªDose
2021-03-03;0;1ªDose
2021-03-03;1;2ªDose
2021-04-15;4;1ªDose
2021-04-15;0;2ªDose
2021-02-25;0;1ªDose
2021-02-25;1;2ªDose
2021-02-02;1;1ªDose
2021-02-02;0;2ªDose
2021-01-28;1;1ªDose
2021-01-28;0;2ªDose
