;Fora do prazo (antecipou) - AstraZeneca;Fora do prazo (antecipou) - CoronaVac;Fora do prazo (antecipou) - Pfizer;Dentro do prazo - AstraZeneca;Dentro do prazo - CoronaVac;Dentro do prazo - Pfizer;Fora do prazo (atrasou) - AstraZeneca;Fora do prazo (atrasou) - CoronaVac;Fora do prazo (atrasou) - Pfizer;Abandono - AstraZeneca;Abandono - CoronaVac;Abandono - Pfizer
2021-02-22;0.0;0.0;0.0;0.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-23;0.0;0.0;0.0;0.0;224.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-24;0.0;0.0;0.0;0.0;145.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-25;0.0;2.0;0.0;0.0;121.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-26;0.0;0.0;0.0;0.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-27;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-28;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-03-01;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
2021-03-02;0.0;0.0;0.0;0.0;40.0;0.0;0.0;10.0;0.0;0.0;19.0;0.0
2021-03-03;0.0;1.0;0.0;0.0;79.0;0.0;0.0;29.0;0.0;0.0;87.0;0.0
2021-03-04;0.0;0.0;0.0;0.0;112.0;0.0;0.0;33.0;0.0;0.0;129.0;0.0
2021-03-05;0.0;0.0;0.0;0.0;32.0;0.0;0.0;41.0;0.0;0.0;152.0;0.0
2021-03-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;0.0;0.0;152.0;0.0
2021-03-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;0.0;0.0;152.0;0.0
2021-03-08;0.0;0.0;0.0;0.0;24.0;0.0;0.0;65.0;0.0;0.0;185.0;0.0
2021-03-09;0.0;0.0;0.0;0.0;18.0;0.0;0.0;51.0;0.0;0.0;216.0;0.0
2021-03-10;0.0;0.0;0.0;0.0;30.0;0.0;0.0;38.0;0.0;0.0;237.0;0.0
2021-03-11;0.0;0.0;0.0;0.0;20.0;0.0;0.0;27.0;0.0;0.0;258.0;0.0
2021-03-12;0.0;0.0;0.0;0.0;2.0;0.0;0.0;24.0;0.0;0.0;281.0;0.0
2021-03-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;281.0;0.0
2021-03-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;281.0;0.0
2021-03-15;0.0;0.0;0.0;0.0;5.0;0.0;0.0;22.0;0.0;0.0;281.0;0.0
2021-03-16;0.0;0.0;0.0;0.0;3.0;0.0;0.0;18.0;0.0;0.0;281.0;0.0
2021-03-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;288.0;0.0
2021-03-18;0.0;0.0;0.0;0.0;2.0;0.0;0.0;17.0;0.0;0.0;294.0;0.0
2021-03-19;0.0;0.0;0.0;0.0;1.0;0.0;0.0;12.0;0.0;0.0;295.0;0.0
2021-03-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;295.0;0.0
2021-03-21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;295.0;0.0
2021-03-22;0.0;0.0;0.0;0.0;13.0;0.0;0.0;9.0;0.0;0.0;296.0;0.0
2021-03-23;0.0;0.0;0.0;0.0;9.0;0.0;0.0;9.0;0.0;0.0;296.0;0.0
2021-03-24;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;296.0;0.0
2021-03-25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;296.0;0.0
2021-03-26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;297.0;0.0
2021-03-27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;297.0;0.0
2021-03-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;297.0;0.0
2021-03-29;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;297.0;0.0
2021-03-30;0.0;0.0;0.0;0.0;35.0;0.0;0.0;0.0;0.0;0.0;297.0;0.0
2021-03-31;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;297.0;0.0
2021-04-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;299.0;0.0
2021-04-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;302.0;0.0
2021-04-03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;302.0;0.0
2021-04-04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;302.0;0.0
2021-04-05;0.0;0.0;0.0;0.0;63.0;0.0;0.0;3.0;0.0;0.0;304.0;0.0
2021-04-06;0.0;1.0;0.0;0.0;95.0;0.0;0.0;6.0;0.0;0.0;309.0;0.0
2021-04-07;0.0;0.0;0.0;0.0;55.0;0.0;0.0;4.0;0.0;0.0;312.0;0.0
2021-04-08;0.0;0.0;0.0;0.0;12.0;0.0;0.0;4.0;0.0;0.0;313.0;0.0
2021-04-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;314.0;0.0
2021-04-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;314.0;0.0
2021-04-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;314.0;0.0
2021-04-12;0.0;0.0;0.0;0.0;51.0;0.0;0.0;4.0;0.0;0.0;318.0;0.0
2021-04-13;0.0;1.0;0.0;0.0;78.0;0.0;0.0;12.0;0.0;0.0;329.0;0.0
2021-04-14;1.0;0.0;0.0;0.0;100.0;0.0;0.0;10.0;0.0;0.0;337.0;0.0
2021-04-15;0.0;0.0;0.0;0.0;57.0;0.0;0.0;5.0;0.0;0.0;337.0;0.0
2021-04-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;338.0;0.0
2021-04-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;338.0;0.0
2021-04-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;338.0;0.0
2021-04-19;0.0;0.0;0.0;0.0;27.0;0.0;0.0;6.0;0.0;0.0;352.0;0.0
2021-04-20;0.0;0.0;0.0;0.0;70.0;0.0;0.0;5.0;0.0;0.0;359.0;0.0
2021-04-21;0.0;0.0;0.0;0.0;46.0;0.0;0.0;8.0;0.0;0.0;370.0;0.0
2021-04-22;0.0;0.0;0.0;0.0;40.0;0.0;0.0;1.0;0.0;0.0;376.0;0.0
2021-04-23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;376.0;0.0
2021-04-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;376.0;0.0
2021-04-25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;376.0;0.0
2021-04-26;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;10.0;386.0;0.0
2021-04-27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0;399.0;0.0
2021-04-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;111.0;443.0;0.0
2021-04-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0;443.0;0.0
2021-04-30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0;443.0;0.0
2021-05-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0;443.0;0.0
2021-05-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0;443.0;0.0
2021-05-03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0;480.0;0.0
2021-05-04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0;480.0;0.0
