;Fora do prazo (antecipou) - AstraZeneca;Fora do prazo (antecipou) - CoronaVac;Fora do prazo (antecipou) - Pfizer;Dentro do prazo - AstraZeneca;Dentro do prazo - CoronaVac;Dentro do prazo - Pfizer;Fora do prazo (atrasou) - AstraZeneca;Fora do prazo (atrasou) - CoronaVac;Fora do prazo (atrasou) - Pfizer;Abandono - AstraZeneca;Abandono - CoronaVac;Abandono - Pfizer
2021-01-19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-20;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-03;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-05;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-10;0.0;1.0;0.0;0.0;758.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-11;0.0;0.0;0.0;0.0;1026.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-12;0.0;0.0;0.0;0.0;1131.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-13;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-02-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;0.0;0.0;6.0;0.0
2021-02-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;169.0;0.0;0.0;32.0;0.0
2021-02-18;0.0;0.0;0.0;0.0;771.0;0.0;0.0;362.0;0.0;0.0;64.0;0.0
2021-02-19;0.0;0.0;0.0;0.0;836.0;0.0;0.0;390.0;0.0;0.0;92.0;0.0
2021-02-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;507.0;0.0;0.0;105.0;0.0
2021-02-21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;508.0;0.0;0.0;105.0;0.0
2021-02-22;0.0;0.0;0.0;0.0;795.0;0.0;0.0;556.0;0.0;0.0;123.0;0.0
2021-02-23;0.0;0.0;0.0;0.0;479.0;0.0;0.0;422.0;0.0;0.0;155.0;0.0
2021-02-24;0.0;0.0;0.0;0.0;762.0;0.0;0.0;404.0;0.0;0.0;179.0;0.0
2021-02-25;0.0;0.0;0.0;0.0;1196.0;0.0;0.0;362.0;0.0;0.0;194.0;0.0
2021-02-26;0.0;0.0;0.0;0.0;1018.0;0.0;0.0;334.0;0.0;0.0;200.0;0.0
2021-02-27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;334.0;0.0;0.0;201.0;0.0
2021-02-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;334.0;0.0;0.0;201.0;0.0
2021-03-01;0.0;0.0;0.0;0.0;697.0;0.0;0.0;232.0;0.0;0.0;202.0;0.0
2021-03-02;0.0;0.0;0.0;0.0;1056.0;0.0;0.0;277.0;0.0;0.0;205.0;0.0
2021-03-03;0.0;0.0;0.0;0.0;911.0;0.0;0.0;282.0;0.0;0.0;244.0;0.0
2021-03-04;0.0;0.0;0.0;0.0;417.0;0.0;0.0;212.0;0.0;0.0;277.0;0.0
