;Covid-19-Coronavac-Sinovac/Butantan;Covid-19-AstraZeneca
2021-03-12;5.0;
2021-03-13;5.0;
2021-03-14;5.0;
2021-03-15;5.0;
2021-03-16;5.0;
2021-03-17;5.0;
2021-03-18;5.0;
2021-03-19;5.0;
2021-03-20;3.3333333333333335;
2021-03-21;3.3333333333333335;
2021-03-22;3.3333333333333335;
2021-03-23;3.3333333333333335;
2021-03-24;3.3333333333333335;
2021-03-25;3.3333333333333335;
2021-03-26;3.3333333333333335;
2021-03-27;3.3333333333333335;
2021-03-28;3.3333333333333335;
2021-03-29;3.3333333333333335;
2021-03-30;3.3333333333333335;
2021-03-31;3.3333333333333335;
2021-04-01;3.3333333333333335;
2021-04-02;3.3333333333333335;
2021-04-03;3.3333333333333335;
2021-04-04;1.2658227848101267;
2021-04-05;1.2658227848101267;
2021-04-06;1.2658227848101267;
2021-04-07;1.0309278350515463;
2021-04-08;1.0309278350515463;
2021-04-09;1.0204081632653061;
2021-04-10;1.0204081632653061;
2021-04-11;1.0204081632653061;
2021-04-12;1.0204081632653061;
2021-04-13;0.0;
2021-04-14;0.7874015748031497;
2021-04-15;0.7874015748031497;
2021-04-16;1.5625;
2021-04-17;0.78125;
2021-04-18;0.9174311926605505;
2021-04-19;0.9174311926605505;
2021-04-20;0.8849557522123894;
2021-04-21;0.4424778761061947;
2021-04-22;0.4424778761061947;
2021-04-23;0.3215434083601286;
2021-04-24;0.0;
2021-04-25;0.0;
2021-04-26;0.0;
2021-04-27;0.0;
2021-04-28;0.0;
2021-04-29;0.0;
2021-04-30;0.0;
2021-05-01;0.0;
2021-05-02;0.0;
2021-05-03;0.0;
2021-05-04;0.0;
2021-04-28;;100.0
2021-04-29;;40.0
2021-04-30;;0.0
2021-05-01;;0.0
2021-05-02;;0.0
2021-05-03;;0.0
2021-05-04;;0.0
